,name,ticker,currency,Date,Dividend Paid,Common Shares Outstanding,Last Closing Price,Adjusted Closing Price,Highest Price,Lowest Price,Opening Price,Trading Volume
0,NVIDIA CORP,NVDA,USD,2025-11-20,,24300000000,180.64,180.64,196.0,179.85,195.95,336479280
1,APPLE INC,AAPL,USD,2025-11-20,,14776353000,266.25,266.25,275.43,265.92,270.83,43771109
2,MICROSOFT CORP,MSFT,USD,2025-11-20,0.91,7432377655,478.43,478.43,493.57,475.5,492.71,25546231
3,AMAZON COM INC,AMZN,USD,2025-11-20,,10690216011,217.14,217.14,227.41,216.74,227.05,49697667
4,"Meta Platforms, Inc.",META,USD,2025-11-20,,2520527597,589.15,589.15,606.72,583.35,603.5,20329771
5,Alphabet (Google),GOOG,USD,2025-11-20,,12581000000,289.98,289.98,306.89,289.17,304.74,34387320
6,Tesla,TSLA,USD,2025-11-20,,3325819167,395.23,395.23,428.94,394.74,414.63,110857282
7,Walmart Inc,WMT,USD,2025-11-20,,7972851122,107.11,107.11,107.91,102.68,103.94,50192434
8,JPMORGAN CHASE & CO,JPM,USD,2025-11-20,,2722262295,298.38,298.38,309.92,298.16,306.34,7421986
9,ORACLE CORP,ORCL,USD,2025-11-20,,2841714000,210.69,210.69,234.0,210.3,231.16,26651911
10,VISA INC.,V,USD,2025-11-20,,2062114537,323.77,323.77,328.4,323.14,324.12,6200518
11,Mastercard Inc,MA,USD,2025-11-20,,897995848,527.88,527.88,538.46,527.18,533.29,3150125
12,NETFLIX INC,NFLX,USD,2025-11-20,,4237323340,105.67,105.67,111.1,105.39,111.0,36623615
13,EXXON MOBIL CORP,XOM,USD,2025-11-20,,4217165614,117.02,117.02,119.0,116.74,117.98,14349748
14,JOHNSON & JOHNSON,JNJ,USD,2025-11-20,,2409295102,203.07,203.07,204.51,201.57,202.0,10601418
15,Palantir Technologies Inc.,PLTR,USD,2025-11-20,,2090107000,155.75,155.75,174.57,154.4,172.07,77102775
16,COSTCO WHOLESALE CORP /NEW,COST,USD,2025-11-20,,443179176,893.29,893.29,904.57,891.0,893.5,2599811
17,HOME DEPOT INC,HD,USD,2025-11-20,,995386647,332.38,332.38,338.9,332.13,336.36,3893092
18,BANK OF AMERICA CORP /DE/,BAC,USD,2025-11-20,,7302495550,51.0,51.0,52.95,50.97,52.5,36283353
19,PROCTER & GAMBLE Co,PG,USD,2025-11-20,,2336733549,148.19,148.19,148.66,146.13,146.64,8620459
20,CHEVRON CORP,CVX,USD,2025-11-20,,2013521597,150.31,150.31,153.03,150.04,152.54,7564829
21,COCA COLA CO,KO,USD,2025-11-20,,4301608845,71.21,71.21,71.48,70.61,70.95,15357791
22,"CISCO SYSTEMS, INC.",CSCO,USD,2025-11-20,,3953196953,75.44,75.44,80.06,75.32,79.12,27158723
23,WELLS FARGO & COMPANY/MN,WFC,USD,2025-11-20,,3139084542,82.4,82.4,86.04,82.32,85.06,12071865
24,INTERNATIONAL BUSINESS MACHINES CORP,IBM,USD,2025-11-20,,934735206,290.4,290.4,300.71,290.16,294.64,5445094
25,"T-Mobile US, Inc.",TMUS,USD,2025-11-20,,1118506626,210.51,210.51,212.32,209.89,211.32,5222908
26,MORGAN STANLEY,MS,USD,2025-11-20,,1589309311,158.7,158.7,166.94,158.51,164.19,5251577
27,SALESFORCE COM INC,CRM,USD,2025-11-20,,952000000,225.37,225.37,231.07,223.3,229.25,7482579
28,CATERPILLAR INC,CAT,USD,2025-11-20,,467979596,546.13,546.13,568.87,541.0,565.95,3152844
29,AMERICAN EXPRESS CO,AXP,USD,2025-11-20,,688851653,343.8,343.8,353.13,340.32,349.97,3078852
30,Philip Morris International Inc.,PM,USD,2025-11-20,,1556638749,155.65,155.65,156.29,154.13,155.57,3946175
31,GOLDMAN SACHS GROUP INC,GS,USD,2025-11-20,,299928511,773.7,773.7,816.0,772.19,795.25,2563948
32,RTX Corporation,RTX,USD,2025-11-20,,1340771942,172.73,172.73,177.55,172.5,176.54,4149065
33,ABBOTT LABORATORIES,ABT,USD,2025-11-20,,1738871947,123.97,123.97,125.72,122.09,122.5,11645646
34,MCDONALDS CORP,MCD,USD,2025-11-20,,712154350,304.16,304.16,305.64,301.87,302.44,3806450
35,PEPSICO INC,PEP,USD,2025-11-20,,1367340122,146.1,146.1,147.08,144.9,146.6,6756324
36,The Walt Disney Company,DIS,USD,2025-11-20,,1785288846,102.7,102.7,105.8,102.5,105.37,12167191
37,"ServiceNow, Inc.",NOW,USD,2025-11-20,,208000000,800.46,800.46,831.69,797.28,830.5,1587030
38,AT&T INC.,T,USD,2025-11-20,,7089449495,25.52,25.52,25.63,25.12,25.25,42801760
39,INTEL CORP,INTC,USD,2025-11-20,,4770000000,33.62,33.62,36.68,33.48,36.0,94296834
